APNXId,displayName,dataProvider,DataCost,MinCPM,PercentOfMedia,member_id,provider,code,subtype
239846,In-Market:Autos:Makes & Models:Audi:S4,BlueKai,1.71,,,1262,,bk_357,BlueKai
239847,In-Market:Autos:Makes & Models:Audi:S5,BlueKai,1.71,,,1262,,bk_362,BlueKai
239848,In-Market:Autos:Makes & Models:Audi:S6,BlueKai,1.71,,,1262,,bk_369,BlueKai
239849,In-Market:Autos:Makes & Models:Audi:S8,BlueKai,1.71,,,1262,,bk_73415,BlueKai
239850,In-Market:Autos:Makes & Models:Audi:TT,BlueKai,1.71,,,1262,,bk_358,BlueKai
239851,In-Market:Autos:Makes & Models:Audi:TTS,BlueKai,1.71,,,1262,,bk_24131,BlueKai
239852,In-Market:Autos:Makes & Models:Audi:V8,BlueKai,1.71,,,1262,,bk_2374,BlueKai
239853,In-Market:Autos:Makes & Models:Bentley,BlueKai,1.71,,,1262,,bk_11018,BlueKai
239854,In-Market:Autos:Makes & Models:Bentley:Arnage,BlueKai,1.71,,,1262,,bk_6975,BlueKai
239855,In-Market:Autos:Makes & Models:Bentley:Azure,BlueKai,1.71,,,1262,,bk_11530,BlueKai
239856,In-Market:Autos:Makes & Models:Bentley:Brooklands,BlueKai,1.71,,,1262,,bk_11526,BlueKai
239857,In-Market:Autos:Makes & Models:Bentley:Continental,BlueKai,1.71,,,1262,,bk_24132,BlueKai
239858,In-Market:Autos:Makes & Models:Bentley:Continental Flying Spur,BlueKai,1.71,,,1262,,bk_11527,BlueKai
239859,In-Market:Autos:Makes & Models:Bentley:Continental GT,BlueKai,1.71,,,1262,,bk_11525,BlueKai
239860,In-Market:Autos:Makes & Models:Bentley:Continental GTC,BlueKai,1.71,,,1262,,bk_11529,BlueKai
239861,In-Market:Autos:Makes & Models:Bentley:Continental R/S/T,BlueKai,1.71,,,1262,,bk_2384,BlueKai
239862,In-Market:Autos:Makes & Models:Bentley:Continental Supersports,BlueKai,1.71,,,1262,,bk_24133,BlueKai
239863,In-Market:Autos:Makes & Models:Bentley:Mulsanne,BlueKai,1.71,,,1262,,bk_14573,BlueKai
239864,In-Market:Autos:Makes & Models:BMW,BlueKai,1.71,,,1262,,bk_210,BlueKai
239865,In-Market:Autos:Makes & Models:BMW:1-Series,BlueKai,1.71,,,1262,,bk_2240,BlueKai
239866,In-Market:Autos:Makes & Models:BMW:1-Series:128,BlueKai,1.71,,,1262,,bk_395,BlueKai
239867,In-Market:Autos:Makes & Models:BMW:1-Series:135,BlueKai,1.71,,,1262,,bk_398,BlueKai
239868,In-Market:Autos:Makes & Models:BMW:1-Series:M Coupe,BlueKai,1.71,,,1262,,bk_435,BlueKai
239869,In-Market:Autos:Makes & Models:BMW:3-Series,BlueKai,1.71,,,1262,,bk_2150,BlueKai
239870,In-Market:Autos:Makes & Models:BMW:3-Series:318,BlueKai,1.71,,,1262,,bk_135365,BlueKai
239871,In-Market:Autos:Makes & Models:BMW:3-Series:323,BlueKai,1.71,,,1262,,bk_135366,BlueKai
239872,In-Market:Autos:Makes & Models:BMW:3-Series:325,BlueKai,1.71,,,1262,,bk_3631,BlueKai
239873,In-Market:Autos:Makes & Models:BMW:3-Series:328,BlueKai,1.71,,,1262,,bk_405,BlueKai
239874,In-Market:Autos:Makes & Models:BMW:3-Series:330,BlueKai,1.71,,,1262,,bk_7459,BlueKai
239875,In-Market:Autos:Makes & Models:BMW:3-Series:335,BlueKai,1.71,,,1262,,bk_410,BlueKai
239876,In-Market:Autos:Makes & Models:BMW:3-Series:M3,BlueKai,1.71,,,1262,,bk_438,BlueKai
239877,In-Market:Autos:Makes & Models:BMW:5-Series,BlueKai,1.71,,,1262,,bk_2151,BlueKai
239878,In-Market:Autos:Makes & Models:BMW:5-Series:525,BlueKai,1.71,,,1262,,bk_135367,BlueKai
239879,In-Market:Autos:Makes & Models:BMW:5-Series:528,BlueKai,1.71,,,1262,,bk_414,BlueKai
239880,In-Market:Autos:Makes & Models:BMW:5-Series:530,BlueKai,1.71,,,1262,,bk_7460,BlueKai
239881,In-Market:Autos:Makes & Models:BMW:5-Series:535,BlueKai,1.71,,,1262,,bk_416,BlueKai
239882,In-Market:Autos:Makes & Models:BMW:5-Series:540,BlueKai,1.71,,,1262,,bk_135368,BlueKai
239883,In-Market:Autos:Makes & Models:BMW:5-Series:545,BlueKai,1.71,,,1262,,bk_135369,BlueKai
239884,In-Market:Autos:Makes & Models:BMW:5-Series:550,BlueKai,1.71,,,1262,,bk_419,BlueKai
239885,In-Market:Autos:Makes & Models:BMW:5-Series:M5,BlueKai,1.71,,,1262,,bk_442,BlueKai
239886,In-Market:Autos:Makes & Models:BMW:6-Series,BlueKai,1.71,,,1262,,bk_2241,BlueKai
239887,In-Market:Autos:Makes & Models:BMW:6-Series:645,BlueKai,1.71,,,1262,,bk_135370,BlueKai
239888,In-Market:Autos:Makes & Models:BMW:6-Series:650,BlueKai,1.71,,,1262,,bk_421,BlueKai
239889,In-Market:Autos:Makes & Models:BMW:6-Series:M6,BlueKai,1.71,,,1262,,bk_444,BlueKai
239890,In-Market:Autos:Makes & Models:BMW:7-Series,BlueKai,1.71,,,1262,,bk_2152,BlueKai
239891,In-Market:Autos:Makes & Models:BMW:7-Series:735,BlueKai,1.71,,,1262,,bk_83424,BlueKai
239892,In-Market:Autos:Makes & Models:BMW:7-Series:740,BlueKai,1.71,,,1262,,bk_103567,BlueKai
