APNXId,displayName,dataProvider,DataCost,MinCPM,PercentOfMedia,subtype
141452,Auto:Buyers:Minivan,exelate,1,null,null,null
141453,Auto:Buyers:Sedan,exelate,1,null,null,null
141454,Auto:Buyers:Sports cars,exelate,1,null,null,null
141455,Auto:Buyers:SUV,exelate,1,null,null,null
141456,Auto:Buyers:Trucks,exelate,1,null,null,null
141457,Auto:Buyers:Van,exelate,1,null,null,null
141458,Auto:Buyers:Wagons,exelate,1,null,null,null
141459,Casual Gaming,exelate,0.85,null,null,null
141460,Career:Health Care Professionals,exelate,0.5,null,null,null
141461,Hobbies,exelate,0.85,null,null,null
141462,Home Improvement,exelate,0.85,null,null,null
141463,Offer Seekers,exelate,0.85,null,null,null
141464,Parenting,exelate,0.85,null,null,null
141465,Travel:USA:California:San Francisco,exelate,1,null,null,null
141466,Travel:USA:Florida:Disney,exelate,1,null,null,null
141467,Travel:USA:Florida:Miami Beach,exelate,1,null,null,null
141468,Travel:USA:Maryland:Ocean City,exelate,1,null,null,null
141469,Travel:USA:Nevada:Las Vegas,exelate,1,null,null,null
141470,Shopping,exelate,1,null,null,null
141471,Entertainment:Online Streamers,exelate,0.85,null,null,null
141472,Finance,exelate,1,null,null,null
141473,Guys and Gear,exelate,0.85,null,null,null
141474,Auto:Buyers:Makes-Asia,exelate,1,null,null,null
141475,Auto:Buyers:Makes-Europe,exelate,1,null,null,null
141476,Auto:Buyers:Makes-USA,exelate,1,null,null,null
141477,Auto:Buyers:Make:Acura,exelate,1,null,null,null
141478,Auto:Buyers:Make:Audi,exelate,1,null,null,null
141479,Auto:Buyers:Make:BMW,exelate,1,null,null,null
141480,Auto:Buyers:Make:Buick,exelate,1,null,null,null
141481,Auto:Buyers:Make:Cadillac,exelate,1,null,null,null
141482,Auto:Buyers:Make:Chevrolet,exelate,1,null,null,null
141483,Auto:Buyers:Make:Chrysler,exelate,1,null,null,null
141484,Auto:Buyers:Make:Dodge,exelate,1,null,null,null
141485,Auto:Buyers:Make:Ford,exelate,1,null,null,null
141486,Auto:Buyers:Make:GMC,exelate,1,null,null,null
141487,Auto:Buyers:Make:Honda,exelate,1,null,null,null
141488,Auto:Buyers:Make:Hummer,exelate,1,null,null,null
141489,Auto:Buyers:Make:Hyundai,exelate,1,null,null,null
141490,Auto:Buyers:Make:Infiniti,exelate,1,null,null,null
141491,Auto:Buyers:Make:Isuzu,exelate,1,null,null,null
141492,Auto:Buyers:Make:Jaguar,exelate,1,null,null,null
141493,Auto:Buyers:Make:Jeep,exelate,1,null,null,null
141494,Auto:Buyers:Make:Kia,exelate,1,null,null,null
141495,Auto:Buyers:Make:Land Rover,exelate,1,null,null,null
141496,Auto:Buyers:Make:Lexus,exelate,1,null,null,null
141497,Auto:Buyers:Make:Lincoln,exelate,1,null,null,null
141498,Auto:Buyers:Make:Mazda,exelate,1,null,null,null
141499,Auto:Buyers:Make:Mercedes,exelate,1,null,null,null
141500,Auto:Buyers:Make:Mercury,exelate,1,null,null,null
141501,Auto:Buyers:Make:Mini,exelate,1,null,null,null
141502,Auto:Buyers:Make:Mitsubishi,exelate,1,null,null,null
141503,Auto:Buyers:Make:Nissan,exelate,1,null,null,null
141504,Auto:Buyers:Make:Pontiac,exelate,1,null,null,null
141505,Auto:Buyers:Make:Porsche,exelate,1,null,null,null
141506,Auto:Buyers:Make:Saab,exelate,1,null,null,null
141507,Auto:Buyers:Make:Saturn,exelate,1,null,null,null
141508,Auto:Buyers:Make:Scion,exelate,1,null,null,null
141509,Auto:Buyers:Make:Smart,exelate,1,null,null,null
141510,Auto:Buyers:Make:Subaru,exelate,1,null,null,null
141511,Auto:Buyers:Make:Suzuki,exelate,1,null,null,null
141512,Auto:Buyers:Make:Toyota,exelate,1,null,null,null
141513,Auto:Buyers:Make:Volvo,exelate,1,null,null,null
141514,Auto:Buyers:Make:VW,exelate,1,null,null,null
141515,Shopping:Babies and Kids,exelate,1,null,null,null
141516,Shopping:Books,exelate,1,null,null,null
141517,Shopping:Fashion:Jewelry and Watches,exelate,1,null,null,null
141518,Shopping:Health and Beauty,exelate,1,null,null,null
141519,Shopping:Home and Garden:Appliances,exelate,1,null,null,null
141520,Shopping:Home and Garden:Furniture,exelate,1,null,null,null
141521,Shopping:Musical Instruments,exelate,1,null,null,null
141522,Shopping:Personal Tech:Cameras,exelate,1,null,null,null
141523,Shopping:Personal Tech:Computers,exelate,1,null,null,null
141524,Shopping:Personal Tech:Computers:Laptop,exelate,1,null,null,null
141525,Shopping:Personal Tech:Software,exelate,1,null,null,null
141526,Shopping:Personal Tech:TVs,exelate,1,null,null,null
141527,Shopping:Personal Tech:Video Games,exelate,1,null,null,null
141528,Shopping:Personal Tech:Video Games:Xbox,exelate,1,null,null,null
141529,Shopping:Sports and Recreation,exelate,1,null,null,null
141530,Shopping:Toys,exelate,1,null,null,null
141531,Travel:Flights,exelate,1,null,null,null
141532,Entertainment:Movies,exelate,1,null,null,null
141533,Health,exelate,1,null,null,null
141534,Career:IT Professionals,exelate,0.85,null,null,null
141653,Asian,exelate,0.85,null,null,null
141654,Career:Accounting and Finance,exelate,0.5,null,null,null
141655,Career:All,exelate,0.5,null,null,null
141656,Career:Arts  Entertainment and Gaming,exelate,0.5,null,null,null
141657,Career:Clerical and Administrative,exelate,0.5,null,null,null
141658,Career:Construction and Extraction,exelate,0.5,null,null,null
141659,Career:Customer Service,exelate,0.5,null,null,null
141660,Career:Education  Training and Library,exelate,0.5,null,null,null
141661,Career:Engineering and Architecture,exelate,0.5,null,null,null
141662,Career:Human Resources,exelate,0.5,null,null,null
141663,Career:Insurance,exelate,0.5,null,null,null
141664,Career:Legal Services,exelate,0.5,null,null,null
141665,Career:Management and Business,exelate,0.5,null,null,null
141666,Career:Manufacturing and Production,exelate,0.5,null,null,null
141667,Career:Marketing and Advertising,exelate,0.5,null,null,null
141668,Career:Media and Communication,exelate,0.5,null,null,null
141669,Career:Merchandising  Purchasing and Retail,exelate,0.5,null,null,null
141670,Career:Military and Government,exelate,0.5,null,null,null
141671,Career:Personal and Home Services,exelate,0.5,null,null,null
141672,Career:Public Relations,exelate,0.5,null,null,null
141673,Career:Public Utilities and Services,exelate,0.5,null,null,null
141674,Career:Real Estate and Building Maintenance,exelate,0.5,null,null,null
141675,Career:Research,exelate,0.5,null,null,null
141676,Career:Sales and Sales Management,exelate,0.5,null,null,null
141677,Career:Science and Biotech,exelate,0.5,null,null,null
141678,Career:Transportation and Logistics,exelate,0.5,null,null,null
141679,Career:Travel  Hospitality and Restaurant,exelate,0.5,null,null,null
141680,Income Level:$100 000 to $124 999,exelate,0.5,null,null,null
141681,Income Level:$125 000 to $149 999,exelate,0.5,null,null,null
141682,Income Level:$150 000 Plus,exelate,0.5,null,null,null
141683,Income Level:$20 000 to $29 999,exelate,0.5,null,null,null
141684,Income Level:$30 000 to $39 999,exelate,0.5,null,null,null
141685,Income Level:$40 000 to $49 999,exelate,0.5,null,null,null
141686,Income Level:$50 000 to $59 999,exelate,0.5,null,null,null
141687,Income Level:$60 000 to $74 999,exelate,0.5,null,null,null
141688,Income Level:$75 000 to $99 999,exelate,0.5,null,null,null
141689,Income Level:Under $20 000,exelate,0.5,null,null,null
141690,Lifestyle:Home Owners,exelate,0.5,null,null,null
141691,Lifestyle:Renters,exelate,0.5,null,null,null
141692,Lifestyle:Rural,exelate,0.5,null,null,null
141693,Lifestyle:Suburban,exelate,0.5,null,null,null
141694,Lifestyle:Suburban City,exelate,0.5,null,null,null
141695,Lifestyle:Urban,exelate,0.5,null,null,null
141696,Lifestyle:Urban Core,exelate,0.5,null,null,null
141697,Lifestyle:With Children,exelate,0.5,null,null,null
141698,Lifestyle:Without Children,exelate,0.5,null,null,null
